split,method,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate,window_length_hours
holdout,mahalanobis,2364,1566,798,0.6366779016506785,0.5592115207502624,0.7375,0.22180451127819548,0.34104046242774566,0.040229885057471264,1
holdout,iforest,2364,1566,798,0.6665466347861992,0.5683471514613925,1.0,0.15162907268170425,0.26332970620239393,0.0,1
holdout,ensemble_any,2364,1566,798,0.6493620705659423,0.5646243986529571,0.7375,0.22180451127819548,0.34104046242774566,0.040229885057471264,1
train,mahalanobis,10619,7578,3041,0.6582111425369948,0.5353808078407898,0.8795562599049128,0.18250575468595856,0.3022875816993464,0.010029031406703616,1
train,iforest,10619,7578,3041,0.5848153445100474,0.41843791528670427,0.759493670886076,0.07892140743176587,0.14298480786416443,0.010029031406703616,1
train,ensemble_any,10619,7578,3041,0.6325636378484977,0.5245155265066854,0.8052486187845304,0.1917132522196646,0.3096945551128818,0.018606492478226443,1
validation,mahalanobis,2172,1458,714,0.4145033870887176,0.33739966620903106,0.6744186046511628,0.04061624649859944,0.07661822985468957,0.009602194787379973,1
validation,iforest,2172,1458,714,0.5324732087622429,0.34566700097406416,0.0,0.0,0.0,0.0,1
validation,ensemble_any,2172,1458,714,0.46566706243539935,0.353738049598492,0.6744186046511628,0.04061624649859944,0.07661822985468957,0.009602194787379973,1
holdout,mahalanobis,788,522,266,0.6287341918013425,0.5650866788638507,0.6442307692307693,0.2518796992481203,0.3621621621621622,0.07088122605363985,3
holdout,iforest,788,522,266,0.670850978019762,0.5845310765270408,1.0,0.15789473684210525,0.2727272727272727,0.0,3
holdout,ensemble_any,788,522,266,0.6405381269265117,0.5685938266857608,0.6442307692307693,0.2518796992481203,0.3621621621621622,0.07088122605363985,3
train,mahalanobis,3540,2526,1014,0.654721078300468,0.5627412748551471,0.910958904109589,0.26232741617357,0.40735068912710565,0.010292953285827395,3
train,iforest,3540,2526,1014,0.5863243178244092,0.42703667954968,0.7758620689655172,0.08875739644970414,0.1592920353982301,0.010292953285827395,3
train,ensemble_any,3540,2526,1014,0.6392453395924984,0.5559511993149181,0.8425925925925926,0.2692307692307692,0.4080717488789238,0.020190023752969122,3
validation,mahalanobis,724,486,238,0.4201334854929626,0.33184067252920263,0.47368421052631576,0.037815126050420166,0.07003891050583658,0.0205761316872428,3
validation,iforest,724,486,238,0.5476709202199398,0.3669735026015084,0.0,0.0,0.0,0.0,3
validation,ensemble_any,724,486,238,0.46590241034685487,0.3497969820165193,0.47368421052631576,0.037815126050420166,0.07003891050583658,0.0205761316872428,3
holdout,mahalanobis,394,261,133,0.6225909601590182,0.5650367863950162,0.5522388059701493,0.2781954887218045,0.37,0.11494252873563218,6
holdout,iforest,394,261,133,0.6548843372799816,0.584954925256246,1.0,0.16541353383458646,0.2838709677419355,0.0,6
holdout,ensemble_any,394,261,133,0.6265952236914125,0.567386018503005,0.5522388059701493,0.2781954887218045,0.37,0.11494252873563218,6
train,mahalanobis,1770,1263,507,0.6699180592840377,0.5993567887592635,0.9212121212121213,0.29980276134122286,0.4523809523809524,0.010292953285827395,6
train,iforest,1770,1263,507,0.5950844940430177,0.42788146645297526,0.7346938775510204,0.07100591715976332,0.12949640287769784,0.010292953285827395,6
train,ensemble_any,1770,1263,507,0.6544263134798489,0.5904488248589991,0.8539325842696629,0.29980276134122286,0.44379562043795623,0.02058590657165479,6
validation,mahalanobis,362,243,119,0.42781063042500955,0.3129443790762843,0.4166666666666667,0.04201680672268908,0.07633587786259542,0.02880658436213992,6
validation,iforest,362,243,119,0.572051042639278,0.39010835375398545,0.0,0.0,0.0,0.0,6
validation,ensemble_any,362,243,119,0.4679946052495072,0.33040722405760103,0.4166666666666667,0.04201680672268908,0.07633587786259542,0.02880658436213992,6
holdout,mahalanobis,195,130,65,0.651242603550296,0.5988900357277394,0.5526315789473685,0.3230769230769231,0.4077669902912621,0.13076923076923078,12
holdout,iforest,195,130,65,0.6758579881656804,0.6010506346260012,1.0,0.15384615384615385,0.26666666666666666,0.0,12
holdout,ensemble_any,195,130,65,0.6524260355029586,0.5998752674186415,0.5526315789473685,0.3230769230769231,0.4077669902912621,0.13076923076923078,12
train,mahalanobis,878,631,247,0.6928787285781197,0.6257725465032241,0.925531914893617,0.3522267206477733,0.5102639296187683,0.011093502377179081,12
train,iforest,878,631,247,0.5942306088273224,0.41676031788288276,0.65,0.05263157894736842,0.09737827715355805,0.011093502377179081,12
train,ensemble_any,878,631,247,0.6782948471996766,0.6147433416874876,0.8613861386138614,0.3522267206477733,0.5,0.022187004754358162,12
validation,mahalanobis,180,122,58,0.4485585076314302,0.30214428805222904,0.25,0.034482758620689655,0.06060606060606061,0.04918032786885246,12
validation,iforest,180,122,58,0.5791407574901075,0.36448889455393807,0.0,0.0,0.0,0.0,12
validation,ensemble_any,180,122,58,0.47427925381571506,0.31282354512751565,0.25,0.034482758620689655,0.06060606060606061,0.04918032786885246,12
holdout,mahalanobis,97,66,31,0.6133919843597263,0.5518375885250499,0.34210526315789475,0.41935483870967744,0.37681159420289856,0.3787878787878788,24
holdout,iforest,97,66,31,0.6344086021505377,0.5783713065153397,1.0,0.16129032258064516,0.2777777777777778,0.0,24
holdout,ensemble_any,97,66,31,0.6129032258064516,0.5510289716594476,0.34210526315789475,0.41935483870967744,0.37681159420289856,0.3787878787878788,24
train,mahalanobis,446,317,129,0.7502017460201013,0.6909710891027303,0.9333333333333333,0.43410852713178294,0.5925925925925926,0.012618296529968454,24
train,iforest,446,317,129,0.5978040251387767,0.4441247679425995,0.6923076923076923,0.06976744186046512,0.1267605633802817,0.012618296529968454,24
train,ensemble_any,446,317,129,0.7251852395275474,0.6718439600757987,0.8888888888888888,0.43410852713178294,0.5833333333333334,0.022082018927444796,24
validation,mahalanobis,91,61,30,0.516393442622951,0.3697981463585662,0.3333333333333333,0.1,0.15384615384615385,0.09836065573770492,24
validation,iforest,91,61,30,0.6,0.41736811230482385,0.0,0.0,0.0,0.0,24
validation,ensemble_any,91,61,30,0.526775956284153,0.3741211493576615,0.3333333333333333,0.1,0.15384615384615385,0.09836065573770492,24
