substation_id,matched_name,kapt_code,kapt_bjd_code,kakao_place_id,life_zone,dong,village,road_address,jibun_address,latitude,longitude,heating_type,kapt_complex_type,approval_date,household_count,building_count,gross_floor_area_m2,exclusive_residential_area_m2,exclusive_area_households_json,fee_year,fee_latest_month,fee_months_count,private_usage_cost_ytd_krw,private_usage_cost_latest_month_krw,private_usage_cost_latest_month_unit_krw_per_m2,total_mgmt_cost_ytd_krw,total_mgmt_cost_latest_month_krw,total_mgmt_cost_latest_month_unit_krw_per_m2,total_mgmt_cost_ytd_per_household_krw,predist_mapping_type,predist_mapping_note,predist_manufacturer,predist_source_file,predist_raw_file_path,predist_configuration_type,predist_configuration_ko,predist_sensor_groups,predist_sensor_groups_ko,predist_sensor_column_count,predist_raw_sampled_rows,predist_raw_sampled_columns,predist_has_outdoor_temperature_sensor,predist_has_space_heating_sensor,predist_has_dhw_sensor,predist_has_dhw_storage_sensor,predist_has_primary_heat_meter_sensor,predist_has_primary_supply_return_temp_sensor
16,가락마을16단지한양수자인에듀그린아파트,A10028038,3611011200,19149381,1,고운동,가락마을,세종특별자치시 만남로 187,세종특별자치시 고운동 1395,36.5161176,127.23860978,지역난방,아파트,가락마을16단지(에듀그린) (A10028038),463,6,64240,35035.787,"{""60㎡ 이하"": ""171"", ""60㎡ ~ 85㎡ 이하"": ""292"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,447274000,61339000,1751.00,804027000,132931000,3794.00,1736559.40,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_16.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_16.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,5,200,12,1,1,0,0,0,0
17,가락마을17단지아파트,A10027889,3611011200,20671220,1,고운동,가락마을,세종특별자치시 마음안1로 167,세종특별자치시 고운동 1386,36.5180366,127.23657371,지역난방,아파트,가락마을17단지아파트 (A10027889),508,10,69513,30446.1802,"{""60㎡ 이하"": ""508"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,414087000,56570000,1858.00,747044000,123670000,4061.00,1470559.06,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_17.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_17.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,6,200,13,1,1,0,0,0,0
18,가락마을18단지힐스테이트세종3차아파트,A10026235,3611011200,1804143472,1,고운동,가락마을,세종특별자치시 마음안1로 139,세종특별자치시 고운동 2112,36.52106828,127.23510472,지역난방,아파트,가락마을18단지아파트 (A10026235),667,14,94024,67541.9028,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""667"", ""135㎡ 초과"": ""0""}",2026,04,4,605568000,108924000,1613.00,976409000,203093000,3008.00,1463881.56,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_18.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_18.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,10,200,17,1,1,1,1,0,0
19,가락마을19단지파라곤아파트,A10025727,3611011200,1977545292,1,고운동,가락마을,세종특별자치시 밝은뜰로 15,세종특별자치시 고운동 2111,36.52341914,127.23293351,지역난방,아파트,가락마을19단지 아파트 (A10025727),998,19,167706,83844.2739,"{""60㎡ 이하"": ""270"", ""60㎡ ~ 85㎡ 이하"": ""430"", ""85㎡ ~ 135㎡ 이하"": ""298"", ""135㎡ 초과"": ""0""}",2026,05,5,860033000,121486000,1449.00,1514831000,251983000,3006.00,1517866.73,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_19.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_19.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,15,200,21,0,1,1,1,1,1
20,가재마을10단지제일풍경채에듀파크아파트,A33980015,3611011100,18324793,3,종촌동,가재마을,세종특별자치시 도움1로 74,세종특별자치시 종촌동 656,36.50232147,127.25192962,지역난방,아파트,가재마을10단지 제일풍경채에듀파크 (A33980015),436,9,73053,41466.7832,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""247"", ""85㎡ ~ 135㎡ 이하"": ""189"", ""135㎡ 초과"": ""0""}",2026,05,5,468483000,64535000,1556.00,838640000,139563000,3365.00,1923486.24,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_20.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_20.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,15,200,22,1,1,1,1,0,0
21,가재마을11단지한신휴플러스아파트,A33980005,3611011100,16034532,3,종촌동,가재마을,세종특별자치시 도움3로 75,세종특별자치시 종촌동 654,36.5033492,127.25343763,지역난방,아파트,가재마을11단지 (A33980005),696,10,92622,49000.735,"{""60㎡ 이하"": ""400"", ""60㎡ ~ 85㎡ 이하"": ""296"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,569692000,84333000,1721.00,1068590000,182920000,3733.00,1535330.46,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_21.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_21.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,10,200,17,1,1,1,1,0,0
22,가재마을12단지중흥S클래스센텀파크2차아파트,A10028197,3611011100,18410730,3,종촌동,가재마을,세종특별자치시 달빛로 80,세종특별자치시 종촌동 652,36.50582666,127.25164517,지역난방,아파트,가재마을12단지아파트 (A10028197),1371,21,221165,119878.0797,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""1217"", ""85㎡ ~ 135㎡ 이하"": ""154"", ""135㎡ 초과"": ""0""}",2026,05,5,1429745000,205588000,1715.00,2169752000,353334000,2948.00,1582605.40,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_22.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_22.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,12,200,19,1,1,1,1,0,0
23,가재마을1단지아파트,A10027294,3611011100,184883271,3,종촌동,가재마을,세종특별자치시 도움1로 145,세종특별자치시 종촌동 686,36.50098908,127.2425984,지역난방,아파트,가재마을1단지아파트 (A10027294),1684,9,132545,60689.04,"{""60㎡ 이하"": ""1684"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,641792000,86418000,1424.00,1065043000,172505000,2842.00,632448.34,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_23.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_23.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,17,200,24,1,1,1,1,0,0
24,가재마을3단지중흥S클래스에듀타운아파트,A10028185,3611011100,18324792,3,종촌동,가재마을,세종특별자치시 도움3로 159,세종특별자치시 종촌동 679,36.50416376,127.2430827,지역난방,아파트,가재마을3단지아파트 (A10028185),559,10,98930,56001.99,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""200"", ""85㎡ ~ 135㎡ 이하"": ""359"", ""135㎡ 초과"": ""0""}",2026,05,5,608994000,86956000,1553.00,1038587000,172944000,3089.00,1857937.39,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_24.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_24.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop,외기온|난방 회로,13,200,20,1,1,0,0,0,0
25,가재마을4단지세종센트레빌아파트,A10027905,3611011100,20671225,3,종촌동,가재마을,세종특별자치시 도움3로 160,세종특별자치시 종촌동 640,36.5069005,127.24400326,지역난방,아파트,가재마을4단지아파트 (A10027905),1623,19,228078,129072.17,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""1623"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,1427161000,210354000,1630.00,2289688000,384238000,2978.00,1410775.11,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_25.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_25.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,4,200,11,1,1,0,0,0,0
26,범지기마을10단지아파트,A33982109,3611011300,14757941,2,아름동,범지기마을,세종특별자치시 달빛로 211,세종특별자치시 아름동 1277,36.51706763,127.24994552,지역난방,아파트,범지기마을10단지 (A33982109),1970,23,297996,166783.1798,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""1784"", ""85㎡ ~ 135㎡ 이하"": ""186"", ""135㎡ 초과"": ""0""}",2026,05,5,2049870000,286649000,1719.00,3089813000,494450000,2965.00,1568432.99,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_26.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_26.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,21,200,22,1,1,1,1,1,1
27,범지기마을11단지영무예다음아파트,A33980030,3611011300,18294800,2,아름동,범지기마을,세종특별자치시 보듬3로 73,세종특별자치시 아름동 1363,36.51047298,127.25123601,지역난방,아파트,범지기마을11단지아파트 (A33980030),587,9,92929,49884.2472,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""587"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,568308000,80897000,1622.00,990111000,166340000,3335.00,1686730.83,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_27.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_27.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,15,200,16,1,1,1,1,1,1
28,범지기마을12단지중흥S클래스에듀타운아파트,A10028155,3611011300,18324790,2,아름동,범지기마을,세종특별자치시 보듬3로 74,세종특별자치시 아름동 1276,36.5128204,127.25127708,지역난방,아파트,범지기마을12단지(중흥S-에코타운) (A10028155),452,8,75536,41472.048,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""176"", ""85㎡ ~ 135㎡ 이하"": ""276"", ""135㎡ 초과"": ""0""}",2026,05,5,464698000,69216000,1669.00,790872000,133613000,3221.00,1749716.81,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_28.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_28.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|1차측 열량계|1차측 공급/환수온도,11,200,12,1,1,0,0,1,1
29,범지기마을7단지호반베르디움아파트,A33980032,3611011300,17727379,2,아름동,범지기마을,세종특별자치시 달빛1로 158,세종특별자치시 아름동 1284,36.51392748,127.24673477,지역난방,아파트,범지기마을7단지 (A33980032),470,9,75719,39864.217,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""470"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,491020000,69770000,1750.00,812506000,134260000,3368.00,1728736.17,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_29.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_29.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,23,200,25,1,1,1,1,1,1
30,범지기마을9단지한신휴플러스리버파크아파트,A10028118,3611011300,19125464,2,아름동,범지기마을,세종특별자치시 달빛1로 206,세종특별자치시 아름동 1282,36.51663761,127.24656363,지역난방,아파트,범지기마을9단지 (A10028118),687,9,113864,64502.4423,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""279"", ""85㎡ ~ 135㎡ 이하"": ""408"", ""135㎡ 초과"": ""0""}",2026,05,5,746208000,100673000,1561.00,1247905000,200475000,3108.00,1816455.60,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_30.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_30.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,17,200,18,1,1,1,1,1,1
31,범지기마을4단지세종한양수자인에듀시티아파트,A33980014,3611011300,17600387,2,아름동,범지기마을,세종특별자치시 달빛로 109,세종특별자치시 아름동 1356,36.50876198,127.24851227,지역난방,아파트,범지기마을 4단지(한양수자인 에듀시티) (A33980014),520,8,58015,44125.536,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""520"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,563417000,77942000,1766.00,935410000,149152000,3379.00,1798865.38,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_31.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_31.csv,SH + DHW,난방 + 급탕,space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,14,200,16,0,1,1,1,1,1
