policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,pre_event_threshold,leadtime_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v3,f1
pre_0.950_or_lead_0.940,train,row,900,0.286624203822,0.206422018349,0.1642228739,45,112,173,570,84.1300552679,0.95,0.94,21,14,0.666666666667,False,0.24
pre_0.950_or_lead_0.940,validation,row,169,0.285714285714,0.230769230769,0.104895104895,6,15,20,128,84.1519516604,0.95,0.94,3,2,0.666666666667,False,0.255319148936
pre_0.950_or_lead_0.940,holdout,row,183,0.701754385965,0.519480519481,0.160377358491,40,17,37,89,86.3620299107,0.95,0.94,8,6,0.75,False,0.597014925373
pre_0.950_or_lead_0.945,train,row,900,0.287581699346,0.201834862385,0.159824046921,44,109,174,573,83.7615321674,0.95,0.945,21,14,0.666666666667,False,0.237196765499
pre_0.950_or_lead_0.945,validation,row,169,0.315789473684,0.230769230769,0.0909090909091,6,13,20,130,83.7702948557,0.95,0.945,3,2,0.666666666667,False,0.266666666667
pre_0.950_or_lead_0.945,holdout,row,183,0.701754385965,0.519480519481,0.160377358491,40,17,37,89,86.0478222604,0.95,0.945,8,6,0.75,False,0.597014925373
pre_0.950_or_lead_0.950,train,row,900,0.288590604027,0.197247706422,0.155425219941,43,106,175,576,83.3945607533,0.95,0.95,21,14,0.666666666667,False,0.234332425068
pre_0.950_or_lead_0.950,validation,row,169,0.333333333333,0.230769230769,0.0839160839161,6,12,20,131,83.3886380509,0.95,0.95,3,2,0.666666666667,False,0.272727272727
pre_0.950_or_lead_0.950,holdout,row,183,0.714285714286,0.519480519481,0.150943396226,40,16,37,90,85.7343819798,0.95,0.95,8,6,0.75,False,0.601503759398
pre_0.950_or_lead_0.955,train,row,900,0.281690140845,0.183486238532,0.149560117302,40,102,178,580,83.0304080383,0.95,0.955,21,13,0.619047619048,False,0.222222222222
pre_0.950_or_lead_0.955,validation,row,169,0.352941176471,0.230769230769,0.0769230769231,6,11,20,132,83.0105744374,0.95,0.955,3,2,0.666666666667,False,0.279069767442
pre_0.950_or_lead_0.955,holdout,row,183,0.709090909091,0.506493506494,0.150943396226,39,16,38,90,85.42290657,0.95,0.955,8,6,0.75,False,0.590909090909
pre_0.950_or_lead_0.960,train,row,900,0.280575539568,0.178899082569,0.146627565982,39,100,179,582,82.669355593,0.95,0.96,21,13,0.619047619048,False,0.218487394958
pre_0.950_or_lead_0.960,validation,row,169,0.375,0.230769230769,0.0699300699301,6,10,20,133,82.6377933723,0.95,0.96,3,2,0.666666666667,False,0.285714285714
pre_0.950_or_lead_0.960,holdout,row,183,0.709090909091,0.506493506494,0.150943396226,39,16,38,90,85.1150945971,0.95,0.96,8,6,0.75,False,0.590909090909
pre_0.950_or_lead_0.965,train,row,900,0.280303030303,0.169724770642,0.139296187683,37,95,181,587,82.3100980144,0.95,0.965,21,13,0.619047619048,False,0.211428571429
pre_0.950_or_lead_0.965,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,82.2650123072,0.95,0.965,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.965,holdout,row,183,0.686274509804,0.454545454545,0.150943396226,35,16,42,90,84.8096896862,0.95,0.965,8,6,0.75,False,0.546875
pre_0.950_or_lead_0.970,train,row,900,0.28125,0.165137614679,0.134897360704,36,92,182,590,81.9527687695,0.95,0.97,21,13,0.619047619048,False,0.208092485549
pre_0.950_or_lead_0.970,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,81.8935977756,0.95,0.97,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.970,holdout,row,183,0.686274509804,0.454545454545,0.150943396226,35,16,42,90,84.5064109977,0.95,0.97,8,6,0.75,False,0.546875
pre_0.950_or_lead_0.975,train,row,900,0.27868852459,0.155963302752,0.129032258065,34,88,184,594,81.5966632144,0.95,0.975,21,13,0.619047619048,False,0.2
pre_0.950_or_lead_0.975,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,81.5262484076,0.95,0.975,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.975,holdout,row,183,0.666666666667,0.415584415584,0.150943396226,32,16,45,90,84.2031323091,0.95,0.975,8,4,0.5,False,0.512
pre_0.950_or_lead_0.980,train,row,900,0.280991735537,0.155963302752,0.127565982405,34,87,184,595,81.2428817024,0.95,0.98,21,13,0.619047619048,False,0.200589970501
pre_0.950_or_lead_0.980,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,81.1658984101,0.95,0.98,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.980,holdout,row,183,0.666666666667,0.415584415584,0.150943396226,32,16,45,90,83.8998536206,0.95,0.98,8,4,0.5,False,0.512
pre_0.950_or_lead_0.985,train,row,900,0.264957264957,0.142201834862,0.126099706745,31,86,187,596,80.8911643152,0.95,0.985,21,13,0.619047619048,False,0.185074626866
pre_0.950_or_lead_0.985,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,80.8079102444,0.95,0.985,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.985,holdout,row,183,0.666666666667,0.415584415584,0.150943396226,32,16,45,90,83.5965749321,0.95,0.985,8,4,0.5,False,0.512
pre_0.950_or_lead_0.990,train,row,900,0.264957264957,0.142201834862,0.126099706745,31,86,187,596,80.5410658444,0.95,0.99,21,13,0.619047619048,False,0.185074626866
pre_0.950_or_lead_0.990,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,80.4529583172,0.95,0.99,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.990,holdout,row,183,0.659574468085,0.402597402597,0.150943396226,31,16,46,90,83.2953408182,0.95,0.99,8,4,0.5,False,0.5
pre_0.955_or_lead_0.940,train,row,900,0.282894736842,0.197247706422,0.159824046921,43,109,175,573,84.4993126771,0.955,0.94,21,14,0.666666666667,False,0.232432432432
pre_0.955_or_lead_0.940,validation,row,169,0.222222222222,0.153846153846,0.0979020979021,4,14,22,129,84.5364965153,0.955,0.94,3,1,0.333333333333,False,0.181818181818
pre_0.955_or_lead_0.940,holdout,row,183,0.714285714286,0.519480519481,0.150943396226,40,16,37,90,86.6738058411,0.955,0.94,8,6,0.75,False,0.601503759398
pre_0.955_or_lead_0.945,train,row,900,0.283783783784,0.192660550459,0.155425219941,42,106,176,576,84.1300552679,0.955,0.945,21,14,0.666666666667,False,0.229508196721
pre_0.955_or_lead_0.945,validation,row,169,0.25,0.153846153846,0.0839160839161,4,12,22,131,84.1519516604,0.955,0.945,3,1,0.333333333333,False,0.190476190476
pre_0.955_or_lead_0.945,holdout,row,183,0.714285714286,0.519480519481,0.150943396226,40,16,37,90,86.3620299107,0.955,0.945,8,6,0.75,False,0.601503759398
pre_0.955_or_lead_0.950,train,row,900,0.27972027972,0.183486238532,0.151026392962,40,103,178,579,83.7615321674,0.955,0.95,21,13,0.619047619048,False,0.221606648199
pre_0.955_or_lead_0.950,validation,row,169,0.266666666667,0.153846153846,0.0769230769231,4,11,22,132,83.7702948557,0.955,0.95,3,1,0.333333333333,False,0.19512195122
pre_0.955_or_lead_0.950,holdout,row,183,0.727272727273,0.519480519481,0.141509433962,40,15,37,91,86.0478222604,0.955,0.95,8,6,0.75,False,0.606060606061
pre_0.955_or_lead_0.955,train,row,900,0.272058823529,0.169724770642,0.145161290323,37,99,181,583,83.3945607533,0.955,0.955,21,12,0.571428571429,False,0.209039548023
pre_0.955_or_lead_0.955,validation,row,169,0.285714285714,0.153846153846,0.0699300699301,4,10,22,133,83.3886380509,0.955,0.955,3,1,0.333333333333,False,0.2
pre_0.955_or_lead_0.955,holdout,row,183,0.722222222222,0.506493506494,0.141509433962,39,15,38,91,85.7343819798,0.955,0.955,8,6,0.75,False,0.595419847328
pre_0.955_or_lead_0.960,train,row,900,0.270676691729,0.165137614679,0.142228739003,36,97,182,585,83.0304080383,0.955,0.96,21,12,0.571428571429,False,0.205128205128
pre_0.955_or_lead_0.960,validation,row,169,0.307692307692,0.153846153846,0.0629370629371,4,9,22,134,83.0105744374,0.955,0.96,3,1,0.333333333333,False,0.205128205128
pre_0.955_or_lead_0.960,holdout,row,183,0.722222222222,0.506493506494,0.141509433962,39,15,38,91,85.42290657,0.955,0.96,8,6,0.75,False,0.595419847328
pre_0.955_or_lead_0.965,train,row,900,0.269841269841,0.155963302752,0.134897360704,34,92,184,590,82.669355593,0.955,0.965,21,12,0.571428571429,False,0.197674418605
pre_0.955_or_lead_0.965,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,82.6377933723,0.955,0.965,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.965,holdout,row,183,0.7,0.454545454545,0.141509433962,35,15,42,91,85.1150945971,0.955,0.965,8,6,0.75,False,0.551181102362
pre_0.955_or_lead_0.970,train,row,900,0.270491803279,0.151376146789,0.130498533724,33,89,185,593,82.3100980144,0.955,0.97,21,12,0.571428571429,False,0.194117647059
pre_0.955_or_lead_0.970,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,82.2650123072,0.955,0.97,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.970,holdout,row,183,0.7,0.454545454545,0.141509433962,35,15,42,91,84.8096896862,0.955,0.97,8,6,0.75,False,0.551181102362
pre_0.955_or_lead_0.975,train,row,900,0.26724137931,0.142201834862,0.124633431085,31,85,187,597,81.9527687695,0.955,0.975,21,12,0.571428571429,False,0.185628742515
pre_0.955_or_lead_0.975,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,81.8935977756,0.955,0.975,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.975,holdout,row,183,0.68085106383,0.415584415584,0.141509433962,32,15,45,91,84.5064109977,0.955,0.975,8,4,0.5,False,0.516129032258
pre_0.955_or_lead_0.980,train,row,900,0.269565217391,0.142201834862,0.123167155425,31,84,187,598,81.5966632144,0.955,0.98,21,12,0.571428571429,False,0.186186186186
pre_0.955_or_lead_0.980,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,81.5262484076,0.955,0.98,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.980,holdout,row,183,0.68085106383,0.415584415584,0.141509433962,32,15,45,91,84.2031323091,0.955,0.98,8,4,0.5,False,0.516129032258
pre_0.955_or_lead_0.985,train,row,900,0.252252252252,0.128440366972,0.121700879765,28,83,190,599,81.2428817024,0.955,0.985,21,11,0.52380952381,False,0.170212765957
pre_0.955_or_lead_0.985,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,81.1658984101,0.955,0.985,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.985,holdout,row,183,0.68085106383,0.415584415584,0.141509433962,32,15,45,91,83.8998536206,0.955,0.985,8,4,0.5,False,0.516129032258
pre_0.955_or_lead_0.990,train,row,900,0.252252252252,0.128440366972,0.121700879765,28,83,190,599,80.8911643152,0.955,0.99,21,11,0.52380952381,False,0.170212765957
pre_0.955_or_lead_0.990,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,80.8079102444,0.955,0.99,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.990,holdout,row,183,0.673913043478,0.402597402597,0.141509433962,31,15,46,91,83.5965749321,0.955,0.99,8,4,0.5,False,0.50406504065
pre_0.960_or_lead_0.940,train,row,900,0.289655172414,0.192660550459,0.151026392962,42,103,176,579,84.8700005117,0.96,0.94,21,14,0.666666666667,False,0.231404958678
pre_0.960_or_lead_0.940,validation,row,169,0.235294117647,0.153846153846,0.0909090909091,4,13,22,130,84.9217498489,0.96,0.94,3,1,0.333333333333,False,0.186046511628
pre_0.960_or_lead_0.940,holdout,row,183,0.709090909091,0.506493506494,0.150943396226,39,16,38,90,86.9852812509,0.96,0.94,8,6,0.75,False,0.590909090909
pre_0.960_or_lead_0.945,train,row,900,0.290780141844,0.188073394495,0.146627565982,41,100,177,582,84.4993126771,0.96,0.945,21,14,0.666666666667,False,0.228412256267
pre_0.960_or_lead_0.945,validation,row,169,0.266666666667,0.153846153846,0.0769230769231,4,11,22,132,84.5364965153,0.96,0.945,3,1,0.333333333333,False,0.19512195122
pre_0.960_or_lead_0.945,holdout,row,183,0.709090909091,0.506493506494,0.150943396226,39,16,38,90,86.6738058411,0.96,0.945,8,6,0.75,False,0.590909090909
pre_0.960_or_lead_0.950,train,row,900,0.286764705882,0.178899082569,0.142228739003,39,97,179,585,84.1300552679,0.96,0.95,21,13,0.619047619048,False,0.220338983051
pre_0.960_or_lead_0.950,validation,row,169,0.285714285714,0.153846153846,0.0699300699301,4,10,22,133,84.1519516604,0.96,0.95,3,1,0.333333333333,False,0.2
pre_0.960_or_lead_0.950,holdout,row,183,0.722222222222,0.506493506494,0.141509433962,39,15,38,91,86.3620299107,0.96,0.95,8,6,0.75,False,0.595419847328
pre_0.960_or_lead_0.955,train,row,900,0.279069767442,0.165137614679,0.136363636364,36,93,182,589,83.7615321674,0.96,0.955,21,12,0.571428571429,False,0.207492795389
pre_0.960_or_lead_0.955,validation,row,169,0.307692307692,0.153846153846,0.0629370629371,4,9,22,134,83.7702948557,0.96,0.955,3,1,0.333333333333,False,0.205128205128
pre_0.960_or_lead_0.955,holdout,row,183,0.716981132075,0.493506493506,0.141509433962,38,15,39,91,86.0478222604,0.96,0.955,8,6,0.75,False,0.584615384615
pre_0.960_or_lead_0.960,train,row,900,0.277777777778,0.160550458716,0.133431085044,35,91,183,591,83.3945607533,0.96,0.96,21,12,0.571428571429,False,0.203488372093
pre_0.960_or_lead_0.960,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,83.3886380509,0.96,0.96,3,1,0.333333333333,False,0.210526315789
pre_0.960_or_lead_0.960,holdout,row,183,0.716981132075,0.493506493506,0.141509433962,38,15,39,91,85.7343819798,0.96,0.96,8,6,0.75,False,0.584615384615
pre_0.960_or_lead_0.965,train,row,900,0.27731092437,0.151376146789,0.126099706745,33,86,185,596,83.0304080383,0.96,0.965,21,12,0.571428571429,False,0.195845697329
pre_0.960_or_lead_0.965,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,83.0105744374,0.96,0.965,3,1,0.333333333333,False,0.216216216216
pre_0.960_or_lead_0.965,holdout,row,183,0.69387755102,0.441558441558,0.141509433962,34,15,43,91,85.42290657,0.96,0.965,8,6,0.75,False,0.539682539683
pre_0.960_or_lead_0.970,train,row,900,0.278260869565,0.146788990826,0.121700879765,32,83,186,599,82.669355593,0.96,0.97,21,12,0.571428571429,False,0.192192192192
pre_0.960_or_lead_0.970,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,82.6377933723,0.96,0.97,3,1,0.333333333333,False,0.216216216216
pre_0.960_or_lead_0.970,holdout,row,183,0.69387755102,0.441558441558,0.141509433962,34,15,43,91,85.1150945971,0.96,0.97,8,6,0.75,False,0.539682539683
pre_0.960_or_lead_0.975,train,row,900,0.275229357798,0.137614678899,0.115835777126,30,79,188,603,82.3100980144,0.96,0.975,21,12,0.571428571429,False,0.183486238532
pre_0.960_or_lead_0.975,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,82.2650123072,0.96,0.975,3,1,0.333333333333,False,0.216216216216
pre_0.960_or_lead_0.975,holdout,row,183,0.673913043478,0.402597402597,0.141509433962,31,15,46,91,84.8096896862,0.96,0.975,8,4,0.5,False,0.50406504065
pre_0.960_or_lead_0.980,train,row,900,0.277777777778,0.137614678899,0.114369501466,30,78,188,604,81.9527687695,0.96,0.98,21,12,0.571428571429,False,0.184049079755
pre_0.960_or_lead_0.980,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,81.8935977756,0.96,0.98,3,1,0.333333333333,False,0.216216216216
pre_0.960_or_lead_0.980,holdout,row,183,0.673913043478,0.402597402597,0.141509433962,31,15,46,91,84.5064109977,0.96,0.98,8,4,0.5,False,0.50406504065
pre_0.960_or_lead_0.985,train,row,900,0.259615384615,0.123853211009,0.112903225806,27,77,191,605,81.5966632144,0.96,0.985,21,11,0.52380952381,False,0.167701863354
pre_0.960_or_lead_0.985,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,81.5262484076,0.96,0.985,3,1,0.333333333333,False,0.216216216216
pre_0.960_or_lead_0.985,holdout,row,183,0.673913043478,0.402597402597,0.141509433962,31,15,46,91,84.2031323091,0.96,0.985,8,4,0.5,False,0.50406504065
pre_0.960_or_lead_0.990,train,row,900,0.259615384615,0.123853211009,0.112903225806,27,77,191,605,81.2428817024,0.96,0.99,21,11,0.52380952381,False,0.167701863354
pre_0.960_or_lead_0.990,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,81.1658984101,0.96,0.99,3,1,0.333333333333,False,0.216216216216
pre_0.960_or_lead_0.990,holdout,row,183,0.666666666667,0.38961038961,0.141509433962,30,15,47,91,83.8998536206,0.96,0.99,8,4,0.5,False,0.491803278689
pre_0.965_or_lead_0.940,train,row,900,0.294964028777,0.188073394495,0.143695014663,41,98,177,584,85.2411643093,0.965,0.94,21,14,0.666666666667,False,0.229691876751
pre_0.965_or_lead_0.940,validation,row,169,0.25,0.153846153846,0.0839160839161,4,12,22,131,85.3093238134,0.965,0.94,3,1,0.333333333333,False,0.190476190476
pre_0.965_or_lead_0.940,holdout,row,183,0.703703703704,0.493506493506,0.150943396226,38,16,39,90,87.3022781391,0.965,0.94,8,6,0.75,False,0.580152671756
pre_0.965_or_lead_0.945,train,row,900,0.296296296296,0.183486238532,0.139296187683,40,95,178,587,84.8700005117,0.965,0.945,21,14,0.666666666667,False,0.226628895184
pre_0.965_or_lead_0.945,validation,row,169,0.285714285714,0.153846153846,0.0699300699301,4,10,22,133,84.9217498489,0.965,0.945,3,1,0.333333333333,False,0.2
pre_0.965_or_lead_0.945,holdout,row,183,0.703703703704,0.493506493506,0.150943396226,38,16,39,90,86.9852812509,0.965,0.945,8,6,0.75,False,0.580152671756
pre_0.965_or_lead_0.950,train,row,900,0.292307692308,0.174311926606,0.134897360704,38,92,180,590,84.4993126771,0.965,0.95,21,13,0.619047619048,False,0.218390804598
pre_0.965_or_lead_0.950,validation,row,169,0.307692307692,0.153846153846,0.0629370629371,4,9,22,134,84.5364965153,0.965,0.95,3,1,0.333333333333,False,0.205128205128
